COGS,Country,Discount Band,Year,Quarter,Month,Day,Discounts,Gross Sales,Manufacturing Price,Month Name,Product,Month Number,Profit,Sale Price,Sales,Segment,Units Sold,Year
918,France,Medium,2013,Qtr 4,December,1,330.48,3672,260,December,Amarilla,12,2423.52,12,3341.52,Channel Partners,306,2013
1101,Germany,None,2014,Qtr 3,July,1,0,4404,10,July,Paseo,7,3303,12,4404,Channel Partners,367,2014
1101,Mexico,Medium,2013,Qtr 4,October,1,396.36,4404,3,October,Carretera,10,2906.64,12,4007.64,Channel Partners,367,2013
1101,Mexico,Medium,2013,Qtr 4,October,1,396.36,4404,10,October,Paseo,10,2906.64,12,4007.64,Channel Partners,367,2013
1158,United States of America,High,2013,Qtr 4,October,1,463.2,4632,3,October,Carretera,10,3010.8,12,4168.8,Channel Partners,386,2013
1158,United States of America,High,2013,Qtr 4,October,1,463.2,4632,10,October,Paseo,10,3010.8,12,4168.8,Channel Partners,386,2013
1230,Mexico,High,2014,Qtr 4,October,1,639.6,4920,120,October,Velo,10,3050.4,12,4280.4,Channel Partners,410,2014
1230,Mexico,High,2014,Qtr 4,October,1,639.6,4920,260,October,Amarilla,10,3050.4,12,4280.4,Channel Partners,410,2014
1285,Canada,Medium,2014,Qtr 2,May,1,143.92,1799,10,May,Paseo,5,370.08,7,1655.08,Government,257,2014
1315,Germany,Low,2014,Qtr 1,March,1,18.41,1841,250,March,VTT,3,507.59,7,1822.59,Government,263,2014
1315,United States of America,Medium,2013,Qtr 4,November,1,110.46,1841,3,November,Carretera,11,415.54,7,1730.54,Government,263,2013
1400,Germany,High,2014,Qtr 4,December,1,274.4,1960,3,December,Carretera,12,285.6,7,1685.6,Government,280,2014
1400,Germany,High,2014,Qtr 4,December,1,274.4,1960,250,December,VTT,12,285.6,7,1685.6,Government,280,2014
1416,Germany,High,2014,Qtr 4,October,1,623.04,5664,120,October,Velo,10,3624.96,12,5040.96,Channel Partners,472,2014
1416,Germany,High,2014,Qtr 4,October,1,623.04,5664,260,October,Amarilla,10,3624.96,12,5040.96,Channel Partners,472,2014
1465,France,High,2014,Qtr 1,February,1,287.14,2051,5,February,Montana,2,298.86,7,1763.86,Government,293,2014
1500,Mexico,High,2014,Qtr 1,March,1,900,6000,120,March,Velo,3,3600,12,5100,Channel Partners,500,2014
1686,Mexico,Medium,2014,Qtr 3,September,1,404.64,6744,3,September,Carretera,9,4653.36,12,6339.36,Channel Partners,562,2014
1713,Mexico,High,2014,Qtr 3,July,1,890.76,6852,10,July,Paseo,7,4248.24,12,5961.24,Channel Partners,571,2014
1794,Canada,Medium,2014,Qtr 1,March,1,574.08,7176,120,March,Velo,3,4807.92,12,6601.92,Channel Partners,598,2014
1800,Germany,Medium,2014,Qtr 4,October,1,226.8,2520,10,October,Paseo,10,493.2,7,2293.2,Government,360,2014
1800,Germany,Medium,2014,Qtr 4,October,1,226.8,2520,250,October,VTT,10,493.2,7,2293.2,Government,360,2014
1810,Mexico,Low,2014,Qtr 2,May,1,25.34,2534,120,May,Velo,5,698.66,7,2508.66,Government,362,2014
1812,Mexico,High,2014,Qtr 2,June,1,942.24,7248,5,June,Montana,6,4493.76,12,6305.76,Channel Partners,604,2014
1812,Mexico,High,2014,Qtr 2,June,1,942.24,7248,120,June,Velo,6,4493.76,12,6305.76,Channel Partners,604,2014
1900,United States of America,High,2013,Qtr 3,September,1,292.6,2660,10,September,Paseo,9,467.4,7,2367.4,Government,380,2013
1940,Canada,High,2014,Qtr 3,September,1,380.24,2716,5,September,Montana,9,395.76,7,2335.76,Government,388,2014
2070,Mexico,Low,2014,Qtr 4,November,1,165.6,8280,5,November,Montana,11,6044.4,12,8114.4,Channel Partners,690,2014
2180,Canada,Low,2014,Qtr 3,September,1,130.8,3270,10,September,Paseo,9,959.2,15,3139.2,Midmarket,218,2014
2181,Mexico,Medium,2014,Qtr 1,February,1,610.68,8724,3,February,Carretera,2,5932.32,12,8113.32,Channel Partners,727,2014
2298,Germany,Low,2013,Qtr 4,October,1,91.92,9192,3,October,Carretera,10,6802.08,12,9100.08,Channel Partners,766,2013
2298,Germany,Low,2013,Qtr 4,October,1,91.92,9192,10,October,Paseo,10,6802.08,12,9100.08,Channel Partners,766,2013
2410,Germany,High,2014,Qtr 4,October,1,482,4820,10,October,Paseo,10,1928,20,4338,Government,241,2014
2410,Germany,High,2014,Qtr 4,October,1,482,4820,120,October,Velo,10,1928,20,4338,Government,241,2014
2440,Canada,Medium,2014,Qtr 1,February,1,273.28,3416,5,February,Montana,2,702.72,7,3142.72,Government,488,2014
2450,Mexico,Medium,2014,Qtr 2,May,1,330.75,3675,120,May,Velo,5,894.25,15,3344.25,Midmarket,245,2014
2598,France,Low,2014,Qtr 2,May,1,415.68,10392,250,May,VTT,5,7378.32,12,9976.32,Channel Partners,866,2014
2600,Mexico,High,2014,Qtr 1,February,1,728,5200,10,February,Paseo,2,1872,20,4472,Government,260,2014
2605,Mexico,Medium,2014,Qtr 4,December,1,328.23,3647,3,December,Carretera,12,713.77,7,3318.77,Government,521,2014
2605,Mexico,Medium,2014,Qtr 4,December,1,328.23,3647,250,December,VTT,12,713.77,7,3318.77,Government,521,2014
2640,Germany,Medium,2014,Qtr 2,May,1,950.4,10560,250,May,VTT,5,6969.6,12,9609.6,Channel Partners,880,2014
2670,United States of America,High,2013,Qtr 4,October,1,801,5340,10,October,Paseo,10,1869,20,4539,Government,267,2013
2670,United States of America,High,2013,Qtr 4,October,1,801,5340,250,October,VTT,10,1869,20,4539,Government,267,2013
2720,France,Low,2014,Qtr 3,September,1,114.24,3808,5,September,Montana,9,973.76,7,3693.76,Government,544,2014
2724,Canada,Low,2013,Qtr 4,December,1,326.88,10896,3,December,Carretera,12,7845.12,12,10569.12,Channel Partners,908,2013
2735,United States of America,Medium,2014,Qtr 4,November,1,268.03,3829,120,November,Velo,11,825.97,7,3560.97,Government,547,2014
2736,United States of America,None,2013,Qtr 4,November,1,0,10944,10,November,Paseo,11,8208,12,10944,Channel Partners,912,2013
2742,United States of America,High,2014,Qtr 4,December,1,1645.2,10968,10,December,Paseo,12,6580.8,12,9322.8,Channel Partners,914,2014
2742,United States of America,High,2014,Qtr 4,December,1,1645.2,10968,120,December,Velo,12,6580.8,12,9322.8,Channel Partners,914,2014
2780,Germany,High,2014,Qtr 1,February,1,583.8,4170,10,February,Paseo,2,806.2,15,3586.2,Midmarket,278,2014
2850,United States of America,Medium,2014,Qtr 4,December,1,199.5,3990,3,December,Carretera,12,940.5,7,3790.5,Government,570,2014
2850,United States of America,Medium,2014,Qtr 4,December,1,199.5,3990,250,December,VTT,12,940.5,7,3790.5,Government,570,2014
2920,Canada,None,2014,Qtr 1,February,1,0,5840,10,February,Paseo,2,2920,20,5840,Government,292,2014
2930,France,High,2014,Qtr 4,December,1,879,5860,10,December,Paseo,12,2051,20,4981,Government,293,2014
2930,France,High,2014,Qtr 4,December,1,879,5860,250,December,VTT,12,2051,20,4981,Government,293,2014
3015,Mexico,High,2013,Qtr 3,September,1,1326.6,12060,250,September,VTT,9,7718.4,12,10733.4,Channel Partners,1005,2013
3039,Germany,High,2014,Qtr 4,December,1,1580.28,12156,10,December,Paseo,12,7536.72,12,10575.72,Channel Partners,1013,2014
3039,Germany,High,2014,Qtr 4,December,1,1580.28,12156,120,December,Velo,12,7536.72,12,10575.72,Channel Partners,1013,2014
3165,France,Low,2014,Qtr 4,December,1,253.2,12660,10,December,Paseo,12,9241.8,12,12406.8,Channel Partners,1055,2014
3165,France,Low,2014,Qtr 4,December,1,253.2,12660,120,December,Velo,12,9241.8,12,12406.8,Channel Partners,1055,2014
3195,France,Low,2014,Qtr 4,November,1,44.73,4473,120,November,Velo,11,1233.27,7,4428.27,Government,639,2014
3210,France,Low,2013,Qtr 4,November,1,48.15,4815,260,November,Amarilla,11,1556.85,15,4766.85,Midmarket,321,2013
3252,Mexico,Low,2014,Qtr 4,December,1,260.16,13008,10,December,Paseo,12,9495.84,12,12747.84,Channel Partners,1084,2014
3252,Mexico,Low,2014,Qtr 4,December,1,260.16,13008,120,December,Velo,12,9495.84,12,12747.84,Channel Partners,1084,2014
3348,Germany,Medium,2014,Qtr 1,February,1,669.6,13392,3,February,Carretera,2,9374.4,12,12722.4,Channel Partners,1116,2014
3369,Mexico,Medium,2014,Qtr 3,August,1,673.8,13476,260,August,Amarilla,8,9433.2,12,12802.2,Channel Partners,1123,2014
3390,United States of America,Medium,2014,Qtr 3,August,1,379.68,4746,10,August,Paseo,8,976.32,7,4366.32,Government,678,2014
3426,United States of America,Low,2014,Qtr 2,June,1,274.08,13704,5,June,Montana,6,10003.92,12,13429.92,Channel Partners,1142,2014
3426,United States of America,Low,2014,Qtr 2,June,1,274.08,13704,10,June,Paseo,6,10003.92,12,13429.92,Channel Partners,1142,2014
3594,France,High,2013,Qtr 4,October,1,1581.36,14376,3,October,Carretera,10,9200.64,12,12794.64,Channel Partners,1198,2013
3594,France,High,2013,Qtr 4,October,1,1581.36,14376,10,October,Paseo,10,9200.64,12,12794.64,Channel Partners,1198,2013
3615,Canada,High,2014,Qtr 2,April,1,759.15,5061,10,April,Paseo,4,686.85,7,4301.85,Government,723,2014
3800,Mexico,High,2013,Qtr 4,December,1,684,5700,10,December,Paseo,12,1216,15,5016,Midmarket,380,2013
3840,Canada,High,2014,Qtr 1,January,1,633.6,5760,120,January,Velo,1,1286.4,15,5126.4,Midmarket,384,2014
3885,Canada,Low,2014,Qtr 4,October,1,310.8,15540,3,October,Carretera,10,11344.2,12,15229.2,Channel Partners,1295,2014
3885,Canada,Low,2014,Qtr 4,October,1,310.8,15540,10,October,Paseo,10,11344.2,12,15229.2,Channel Partners,1295,2014
4095,Canada,Medium,2014,Qtr 3,July,1,515.97,5733,3,July,Carretera,7,1122.03,7,5217.03,Government,819,2014
4108.5,United States of America,Low,2014,Qtr 3,July,1,493.02,16434,10,July,Paseo,7,11832.48,12,15940.98,Channel Partners,1369.5,2014
4125,Mexico,Medium,2013,Qtr 4,December,1,1320,16500,260,December,Amarilla,12,11055,12,15180,Channel Partners,1375,2013
4179,France,High,2014,Qtr 4,October,1,2340.24,16716,10,October,Paseo,10,10196.76,12,14375.76,Channel Partners,1393,2014
4179,France,High,2014,Qtr 4,October,1,2340.24,16716,260,October,Amarilla,10,10196.76,12,14375.76,Channel Partners,1393,2014
4335,Canada,Low,2014,Qtr 3,September,1,173.4,17340,3,September,Carretera,9,12831.6,12,17166.6,Channel Partners,1445,2014
4365,United States of America,Medium,2014,Qtr 3,July,1,698.4,8730,250,July,VTT,7,3666.6,20,8031.6,Government,436.5,2014
4395,United States of America,Low,2014,Qtr 1,March,1,703.2,17580,120,March,Velo,3,12481.8,12,16876.8,Channel Partners,1465,2014
4415,Mexico,None,2014,Qtr 3,August,1,0,6181,10,August,Paseo,8,1766,7,6181,Government,883,2014
4420,Germany,High,2013,Qtr 3,September,1,1149.2,8840,3,September,Carretera,9,3270.8,20,7690.8,Government,442,2013
4635,Germany,None,2014,Qtr 2,June,1,0,18540,5,June,Montana,6,13905,12,18540,Channel Partners,1545,2014
